Date,Close,Volume,Open,High,Low
08-05-2023,8.27,30996540,8.27,8.54,8.03
05-05-2023,8.15,34720550,8.14,8.37,8.1
04-05-2023,8.06,50555820,7.75,8.12,7.75
03-05-2023,7.64,39778470,7.43,7.77,7.4
02-05-2023,7.45,53990060,7.65,7.75,7.33
01-05-2023,7.81,39623720,7.83,7.86,7.545
28-04-2023,7.87,39093680,7.88,8.01,7.66
27-04-2023,7.97,36937550,7.7,7.97,7.612
26-04-2023,7.68,56070150,8.09,8.2,7.65
25-04-2023,7.9,88508390,8.16,8.16,7.6
24-04-2023,8.29,29843620,8.38,8.4,8.16
21-04-2023,8.33,34188220,8.3,8.38,8.05
20-04-2023,8.28,59580500,8.54,8.58,8.16
19-04-2023,8.79,60655930,9.16,9.2,8.77
18-04-2023,9.47,26811960,9.78,9.81,9.445
17-04-2023,9.83,48549520,9.54,10.025,9.51
14-04-2023,9.27,30953520,9.07,9.45,9.0025
13-04-2023,9.1,25070000,9.21,9.28,9.02
12-04-2023,9.01,48106840,9.56,9.56,8.96
11-04-2023,9.52,44751330,9.19,9.785,9.18
10-04-2023,9.05,26228690,8.86,9.08,8.78
06-04-2023,9.01,23019760,8.94,9.07,8.83
05-04-2023,8.96,33805940,9.19,9.19,8.75
04-04-2023,9.21,53384390,9.615,9.79,9.12
03-04-2023,9.8,56526150,10.41,10.51,9.67
31-03-2023,10.51,35906300,10.31,10.6,10.2
30-03-2023,10.46,66081900,10.0,10.75,9.94
29-03-2023,9.83,56384490,9.3,9.95,9.26
28-03-2023,9.2,31341450,9.15,9.27,9.03
27-03-2023,8.93,20452450,9.03,9.13,8.835
24-03-2023,9.07,28722600,9.22,9.23,8.83
23-03-2023,9.27,30132790,9.35,9.455,9.13
22-03-2023,9.09,36811680,9.5,9.53,9.06
21-03-2023,9.27,52342780,8.96,9.37,8.9101
20-03-2023,8.75,56190650,8.1,9.06,8.065
17-03-2023,8.26,38374660,8.54,8.74,8.18
16-03-2023,8.5,27761080,8.13,8.54,8.1
15-03-2023,8.25,40281710,8.21,8.32,8.07
14-03-2023,8.42,36783140,8.51,8.555,8.345
13-03-2023,8.55,43877060,8.35,8.69,8.03
10-03-2023,8.51,46631320,8.78,8.81,8.33
09-03-2023,8.79,48894340,9.01,9.1693,8.715
08-03-2023,9.18,39709090,8.865,9.18,8.67
07-03-2023,8.97,45081480,9.19,9.255,8.87
06-03-2023,9.31,35308770,9.5,9.64,9.3
03-03-2023,9.57,60775130,8.97,9.7,8.92
02-03-2023,9.09,73358800,8.5,9.12,8.31
01-03-2023,8.83,82172520,9.335,9.45,8.77
